target,avg_rating,avg_rating_inbound_users,in_degree,out_degree,page_rank
1,3.5442477876106193,1.6405462907223711,226,215,0.005027578951538255
2,3.0,1.7356499250577655,41,45,0.0009780491606346954
3,-0.2857142857142857,2.8193805676637376,21,0,0.00038213115550422876
4,3.111111111111111,1.8120786893604148,54,63,0.0012889474029699152
5,2.3333333333333335,2.5910680055222826,3,3,9.298398844951604e-05
6,1.3863636363636365,1.7865891081026406,44,40,0.0007736333591972854
7,2.8425925925925926,1.6722203900284127,216,232,0.005911890222676483
8,5.666666666666667,4.014749262536873,3,1,9.40209942445172e-05
9,2.0,3.5442477876106193,1,1,5.4884336940387075e-05
10,6.0,2.177927189727339,5,8,0.00013400778786543273
13,1.7853403141361257,1.4649214367797656,191,210,0.004281200478051039
15,1.5384615384615385,1.9231004521419943,13,15,0.0003226958989039939
16,8.0,1.7853403141361257,1,0,5.2336530617335466e-05
17,2.473684210526316,2.26247601126537,19,26,0.0004245538231481906
19,2.6,2.0916754910117743,10,12,0.00026664937597717804
20,2.0,1.8354875732250477,10,0,0.0002349106270063845
21,2.5,2.1365233526449434,26,22,0.0006444273606532836
23,3.3076923076923075,1.532576296916758,26,18,0.0006916658245670724
25,2.6106194690265485,1.53306235742475,113,0,0.0020573795640936804
26,1.5454545454545454,1.7738802543032746,11,12,0.0003696359395000647
28,1.6363636363636365,1.882745593730815,11,7,0.0003396833898932213
29,2.057142857142857,1.3105627800110393,35,33,0.0009306856435492896
31,1.5,3.3276794493608652,2,2,7.227489713918554e-05
32,1.0,2.717251641735283,6,6,0.00016497397451742648
33,2.0,1.7885547210029844,32,32,0.0006405866114905271
34,1.0,2.724060231446446,3,3,9.387294816820561e-05
35,1.8990654205607476,1.2551692247623074,535,763,0.0150227980094646
36,1.878787878787879,2.0255065681214743,33,35,0.0009761085580434028
37,1.3333333333333333,1.0575790937833622,12,13,0.0003433309728015346
39,3.16,1.6483545215288202,25,25,0.000652948397791196
41,1.6736842105263159,1.5417606827093115,95,100,0.0024066757173002344
44,-2.6666666666666665,0.6922222222222222,3,2,0.00010736203489720408
45,2.8181818181818183,1.9046031746031744,11,11,0.0002914399275460474
46,1.0,1.878787878787879,1,1,5.871335556818589e-05
47,2.0,3.193420190101606,2,2,7.654427956657187e-05
51,1.9655172413793103,1.800479921454295,29,30,0.0006729249918504213
52,1.0,2.057142857142857,1,1,5.898006798591215e-05
53,3.0,2.8303872053872055,2,2,7.918816267953402e-05
54,2.142857142857143,2.2275609450121796,7,7,0.00026813270878278233
55,1.0,2.8425925925925926,1,1,5.666780464188556e-05
56,1.8333333333333333,2.557087352044173,6,7,0.0001589703140478952
57,2.375,1.6436818723071251,80,59,0.0014868169127210142
60,3.106060606060606,2.110776263518692,66,63,0.0019247940021880113
61,-0.5555555555555556,2.20606264277891,9,5,0.0001868663317281954
62,-0.7307692307692307,1.623405030515434,52,14,0.0011397639657417153
64,1.7681159420289856,1.6705576000679636,69,78,0.0016543074336939259
65,1.0,1.8990654205607476,1,1,5.174361340239135e-05
66,2.0,3.111111111111111,1,1,5.239842221449923e-05
68,1.6,2.2657281065517028,5,5,0.00015459381991133922
69,1.6666666666666667,2.275038176315435,9,7,0.0003580820411170524
70,1.8333333333333333,1.7595976859872582,6,6,0.0001517028322639036
71,1.0,3.5442477876106193,1,1,5.488433694038711e-05
72,2.0,1.83476183402654,11,11,0.0002950503920456256
74,1.0,3.5442477876106193,1,1,5.488433694038711e-05
75,-0.6,0.7298470194982112,10,7,0.0004447426533116218
76,1.6666666666666667,2.5956134600677374,3,3,0.00010104280357375948
77,1.9285714285714286,1.463274097517795,14,21,0.00037592020437926185
78,1.7,2.0689154021846123,10,8,0.00025206276653522153
79,1.0,1.8990654205607476,1,1,5.174361340239135e-05
80,1.8235294117647058,1.7723161474670348,17,17,0.00041966746123487357
81,2.2222222222222223,2.2324739642330242,9,6,0.0002472187040329658
83,1.0,1.6736842105263159,1,1,5.546460561275182e-05
86,1.0,1.6736842105263159,1,1,5.546460561275182e-05
87,1.0,3.1085858585858586,2,2,7.836786510116424e-05
88,2.6666666666666665,1.9632154882154882,6,7,0.00018171059342874944
89,1.5,2.2581384015594543,2,2,7.712454823893614e-05
93,2.769230769230769,1.7896055316898987,13,12,0.0003307129248143686
94,1.0,1.7681159420289856,1,1,5.3035571229031066e-05
95,1.8333333333333333,1.6200000000000003,6,6,0.0002095367811708728
96,1.2162162162162162,1.5142260147889357,37,42,0.0007769511204116608
97,1.5,1.6596153846153847,4,4,0.0001861886472206215
99,4.0,1.6666666666666667,1,1,7.848925272276952e-05
100,1.25,2.0253719706442777,8,12,0.0002152098002863165
101,2.5714285714285716,2.1382655569602473,7,5,0.0003168419110385391
103,1.0,2.5714285714285716,1,0,8.887098689225948e-05
104,2.3518518518518516,1.9266831772527753,54,56,0.001335860527198525
105,3.5,2.420175438596491,2,1,5.9341655350502916e-05
106,1.0,1.2162162162162162,1,1,5.073187278593663e-05
107,2.0,1.7192192192192193,2,2,8.575452252394583e-05
108,1.0,2.567636067636067,6,4,0.00018378307151518063
109,2.5,2.0355845078116466,6,5,0.00018683297786099235
110,1.4,2.1546820649173672,15,12,0.00034586151539561674
111,3.1666666666666665,2.377200339329439,6,5,0.00013945466994892884
112,1.5,1.5735367876059279,14,26,0.0003323266518363804
113,1.75,1.6325620018146736,36,42,0.0009138445949466487
114,1.2222222222222223,2.1383748143040178,9,6,0.0002492228000431554
115,1.75,1.5889241834804302,24,32,0.0004858945667211608
116,2.0,2.8425925925925926,1,1,5.666780464188556e-05
119,4.333333333333333,3.310070899963774,3,3,0.00012316727885748903
120,2.3333333333333335,2.28579340744768,6,5,0.00019656864901475708
122,1.0,2.8425925925925926,1,2,5.666780464188556e-05
125,1.75,2.200624687019617,8,8,0.0002074439466120008
127,4.333333333333333,2.728683574879227,3,2,0.00011764873930433984
129,2.3333333333333335,2.0294106657101008,6,2,0.00015074161315517537
131,1.0,1.9285714285714286,1,0,5.022367981200262e-05
132,1.6875,1.9097485290648148,32,32,0.0009544022590506165
133,1.0,2.4843593593593596,2,2,7.200920347510532e-05
134,2.5,1.951254153156416,12,11,0.00034146707109982284
135,0.3010752688172043,1.026215309396478,93,92,0.0017468722175911526
137,1.0,2.2581384015594543,2,2,7.712454823893614e-05
138,1.0,2.6158738938053094,2,2,8.023564694641947e-05
139,1.3333333333333333,2.465655059638322,3,4,0.00010262781855274958
140,1.0,1.6736842105263159,1,1,5.546460561275182e-05
141,1.5714285714285714,1.9954391871622836,21,21,0.0005386949082821316
142,1.6363636363636365,2.0233484766587533,11,11,0.00029793191674599946
143,1.95,1.8290054234860122,20,22,0.0005263267889958034
144,1.6585365853658536,1.6527494180689402,41,43,0.00110209087197662
145,1.0,3.5442477876106193,1,1,5.488433694038711e-05
146,1.4,1.6017409536868519,15,15,0.000430749008837838
147,1.0,1.4503911293384977,3,2,0.00019395275429588322
148,1.2,1.5559489633173844,5,5,0.00024378485995251784
149,1.8214285714285714,1.6915765560791773,28,36,0.0007330117292291758
150,1.0,1.4908465608465609,3,5,0.00010491248184657395
152,0.1,1.5839125421091493,10,3,0.00038359900643769834
153,1.8333333333333333,2.095709837862542,6,4,0.00016326979873635924
154,1.0,0.1,1,1,0.00014369424717304574
155,2.5,2.121296296296296,2,3,8.11663286490731e-05
156,1.2857142857142858,1.9998234858110202,7,7,0.00017792366291944988
157,1.5,1.680592105263158,2,2,8.081591561878522e-05
158,1.0,1.6640468227424747,3,1,0.00010158058704317933
159,2.2083333333333335,1.2532418663526435,24,24,0.0007768550129225232
160,2.7142857142857144,1.7447388314944123,7,7,0.00017886717178690147
161,1.6666666666666667,1.5744504667268895,3,3,9.72163928754823e-05
162,1.0,1.680592105263158,2,2,8.081591561878522e-05
163,1.125,1.0539522076570473,8,9,0.00019924416034199227
164,2.25,1.7905237722048066,4,5,0.00015305691058379583
165,3.5,2.6838885996876627,2,1,7.586771000212641e-05
166,1.0769230769230769,1.3881863707950661,13,13,0.00039284592139462315
167,2.909090909090909,1.8134509788367383,11,10,0.0002485288241728728
168,1.0,1.6736842105263159,1,1,5.546460561275182e-05
169,2.5,1.6619318181818183,2,1,8.322976101176104e-05
170,1.0,1.6363636363636365,1,1,5.8029873764253804e-05
171,1.42,1.6933837263851859,50,53,0.0010655898291496364
172,1.0,3.106060606060606,1,1,6.0977304902363566e-05
173,1.75,1.726948051948052,4,3,0.00010758461943976678
174,1.5,1.763498272708799,4,4,0.00011383575411550749
175,2.0,2.8425925925925926,1,1,5.666780464188556e-05
176,1.6666666666666667,2.0685404772361293,3,4,9.78547524864776e-05
177,0.2222222222222222,1.6693674118403,9,10,0.00022074201172761818
178,2.0588235294117645,1.5738395811366472,34,37,0.0008803970562419024
179,-0.42857142857142855,1.428951795772072,7,2,0.0002647498959916812
180,1.2,1.7195314334345906,10,9,0.0002772185665927149
181,1.3333333333333333,1.433211452821359,6,5,0.00016212493096602176
182,1.0,1.2,1,1,7.645128820762984e-05
183,1.3333333333333333,1.511111111111111,3,3,0.00010749157737984758
184,2.1052631578947367,1.475635381814414,19,23,0.00042904108481931874
185,1.0,2.1712962962962963,2,2,8.219486027262612e-05
186,1.25,1.5802291432470448,12,11,0.00031818630914822935
187,1.0,0.3010752688172043,1,1,5.114744228692248e-05
188,1.5,2.6846458108594033,2,2,7.920925740695859e-05
189,2.0,2.410359634997316,3,2,9.070258585851983e-05
190,1.0,2.3518518518518516,1,1,5.528431644639289e-05
191,2.0,3.652637485970819,3,2,0.00013318723933942287
192,2.5294117647058822,1.235616804018893,17,18,0.00027747569912593895
193,2.0,2.9743265993265995,2,2,8.26372475285499e-05
194,1.0,2.80496137849079,3,3,0.00014957894422917568
195,1.0,2.8425925925925926,1,1,5.666780464188556e-05
196,1.0,-0.7307692307692307,1,1,0.00010420781707858581
197,3.3333333333333335,2.2209639518024096,3,0,9.101488442459273e-05
198,1.54,1.3224777225915612,50,45,0.0015127187416847233
199,1.5,1.8895168967158498,4,6,0.00018019098092288274
200,2.2857142857142856,2.4368242480807925,7,8,0.00016870070251828406
201,3.25,-0.5315789473684209,4,2,0.00016088541540772793
202,2.1652173913043478,1.409069738586015,115,127,0.003345653875298713
203,1.3333333333333333,1.4794238683127572,9,10,0.00022450228573623156
204,-0.7741935483870968,1.6252444350784687,31,24,0.0008089114088233683
205,1.0,3.106060606060606,1,0,6.0977304902363566e-05
206,1.2,1.6989735460460096,15,15,0.0005813957795064048
207,1.2857142857142858,1.7070561941251594,7,6,0.00018134877987849662
208,2.0,1.1876456876456876,2,2,0.00013017725996524726
209,1.6333333333333333,1.437616915049775,30,27,0.0008619987641672359
210,1.0,2.8425925925925926,1,1,5.666780464188556e-05
211,1.0,2.5371541501976287,2,1,7.852498367672219e-05
212,1.5,2.4118355745167337,6,6,0.00018879633522761696
